TIME             CONTAINER_ID  UID    COMM             PID/host        TID/host        RET              EVENT                ARGS
07:50:51:227468  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /var/lib/docker/tmp/docker-builder502100723, mode: 448
07:50:51:227739  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /var/lib/docker/tmp/docker-builder502100723/.pivot_root2298961541, mode: 448
07:50:51:228213  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.github, mode: 511
07:50:51:228318  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.github/ISSUE_TEMPLATE, mode: 511
07:50:51:228524  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.github/actions, mode: 511
07:50:51:228563  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.github/actions/setup-runner, mode: 511
07:50:51:228632  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.github/workflows, mode: 511
07:50:51:229067  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /.idea, mode: 511
07:50:51:231240  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api, mode: 511
07:50:51:231445  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server, mode: 511
07:50:51:231481  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/backend, mode: 511
07:50:51:231514  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/backend/build, mode: 511
07:50:51:232617  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/httpstatus, mode: 511
07:50:51:232706  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/httputils, mode: 511
07:50:51:234231  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/middleware, mode: 511
07:50:51:234625  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router, mode: 511
07:50:51:234660  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/build, mode: 511
07:50:51:235383  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/checkpoint, mode: 511
07:50:51:235552  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/container, mode: 511
07:50:51:236952  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/debug, mode: 511
07:50:51:237077  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/distribution, mode: 511
07:50:51:238277  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/grpc, mode: 511
07:50:51:238443  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/image, mode: 511
07:50:51:239576  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/network, mode: 511
07:50:51:239841  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/plugin, mode: 511
07:50:51:240876  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/session, mode: 511
07:50:51:241051  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/swarm, mode: 511
07:50:51:242329  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/system, mode: 511
07:50:51:242517  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/server/router/volume, mode: 511
07:50:51:245075  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/templates, mode: 511
07:50:51:245112  31558a4fe0bb  0      dockerd          12     /575845  1311   /577256  0                mkdirat              dirfd: -100, pathname: /api/templates/server, mode: 511
